ID	MANUAL KEY	C
5061	D# minor	2
5881	A major	2
7217	F minor	2
10359	D minor	2
10981	-	0
11077	G minor	2
11194	D minor	2
14344	D minor	2
14720	D minor	2
16484	A minor	1
17025	D# minor	2
18975	C minor	2
19613	D minor	2
19805	A minor	2
19936	A minor	2
23309	B minor	2
25185	F minor	2
25702	C# minor	2
25703	C# minor	2
26737	C minor	2
29912	D# minor	2
30278	D major	2
32715	B minor	2
33583	E minor	2
33846	C minor	2
33961	G minor	2
35645	F minor	2
37745	E minor	1
37779	A# major	2
40030	E minor	2
40643	A minor	2
40875	G# minor	2
41267	C# minor	1
41907	C minor	2
42234	-	0
45212	B minor	1
49242	F minor	1
49721	C major	2
50823	B minor	2
51220	D# minor	1
51936	C minor	2
54925	C minor	0
55659	C minor	1
58167	D# minor	2
58226	C# major	2
58581	C# major	2
60661	C# major	2
61578	C minor / F# minor	2
61846	D# minor	2
62141	-	0
63014	G# major	2
63618	G# major	2
65102	A minor	1
65778	F minor	2
66070	D minor	2
68370	D minor	2
69040	C# minor	2
74680	A minor	2
76914	G minor	2
77806	F minor	2
80643	G minor	1
84098	C minor	2
84522	F minor	2
90839	D minor	2
95799	C# minor	2
99805	G# minor	2
99806	G# minor	2
100066	D minor	2
103857	E major	2
108844	-	0
110504	D# minor	2
119077	C# minor / E major	2
119467	D# minor	2
125918	G major	2
131427	A minor	2
132143	C# minor	2
134948	C minor	2
135302	C minor	2
138819	B major	1
139755	G major	2
144851	B major	2
150864	F minor	2
155879	D minor	2
159301	B minor	2
167955	E major	2
168304	F minor	1
168450	F# minor	2
174074	C# major	2
175197	E major	1
178137	E minor	2
178770	E minor / G minor	2
180779	-	0
180831	E major	2
181659	F# major	2
188000	E minor	2
188616	C minor	2
189045	G major	1
189424	D major	2
190162	D major	2
190288	A# minor	2
193072	C minor	2
196477	C# minor	2
197434	D major	2
200573	C# minor	2
200766	D minor	1
203541	C# major	1
206180	G minor	2
206648	A major	2
209357	F# minor	0
209475	D minor	2
217855	D minor	2
218890	D major	2
218955	D major	2
219078	D major	2
221206	G major	2
224078	C minor	2
224256	G# major	2
225388	G major	2
226990	D major	2
239698	B minor	2
239972	A# major	2
245736	D major	2
246613	E major	1
251655	G minor	2
255261	E minor	2
255895	D# minor	2
257025	E minor	2
269382	F# minor	2
273439	F minor	2
273553	F minor	2
277229	A# minor	2
277874	C major	1
282105	G minor	2
283467	A minor	2
287952	A minor	2
289631	G major	2
290580	A# minor	2
291094	D major	2
292281	C# minor	2
292564	D major	2
292730	B minor	2
293203	D major	2
297002	F minor	2
297010	C minor	2
297011	C minor	1
297012	A# minor	2
297013	G minor	2
297025	D minor	2
297030	B minor	2
297057	C# minor	2
297059	D minor	1
297065	D minor	1
297067	E minor	2
297071	G# major	2
297113	F major	2
297114	F minor	1
297115	-	0
297116	F minor	1
297125	G minor	2
297129	D major	2
297131	B major	2
297150	A-A# minor	0
297161	G minor	2
297162	A minor	2
297188	B minor	2
297191	D# minor	2
297193	A minor	2
297204	A minor	2
297206	F minor	2
297218	F# minor	2
297252	E major	1
297253	A major	2
297261	D minor	2
297264	D minor	2
297266	F minor	2
297268	G minor	2
297269	F minor	2
297271	G# minor / E major	1
297272	B minor	1
297273	G minor	1
297278	C minor	0
297280	-	0
297281	F# minor	2
297286	G minor	2
297287	G minor	2
297319	B minor	1
297320	C# minor	1
297330	-	0
297332	-	0
297334	F# major	2
297335	F# major	2
297336	F# major	2
297346	G major	2
297347	G major	2
297349	E minor	2
297355	B minor	2
297356	F major	2
297360	F minor	2
297378	G major	1
297379	A# minor	2
297409	G minor	2
297410	G major	2
297411	F# minor	2
297413	D# major	2
297415	C major	2
297417	E minor	1
297418	C major	2
297422	F major	2
297424	C major	2
297473	G# minor	1
297474	B major	2
297485	C minor	1
297488	F major	2
297491	F minor	2
297494	E minor	2
297501	F minor	2
297506	B minor	2
297513	C major	2
297517	D# minor	1
297521	F minor	2
297534	F minor / D# minor	1
297535	D# minor	2
297536	C minor	2
297538	C minor	2
297541	D# minor	1
297542	F minor	2
297575	E minor / F minor	0
297579	A minor	2
297580	D minor	2
297598	C# minor	2
297600	E minor	2
297604	G minor	1
297608	A major	2
297615	A minor	2
297616	A minor	2
297617	A minor	2
297620	D minor	2
297627	F minor	2
297637	-	0
297641	D minor	1
297652	E minor	2
297654	E minor	2
297656	E minor	2
297657	F major	2
297658	F major	2
297659	F minor	2
297660	C minor	2
297666	A minor	2
297667	-	0
297675	A minor	1
297677	A minor	1
297680	-	0
297681	-	0
297686	A# major	2
297692	C# minor	2
297695	C# minor	2
297696	A minor	2
297697	F# minor	2
297698	F minor	2
297699	F minor	2
297704	F minor	1
297705	A# minor	2
297709	-	0
297717	C minor	2
297718	C minor	2
297721	G minor	2
297724	G# major / F minor	1
297735	E minor	1
297748	A major	2
297751	A minor	1
297756	G# major	2
297757	G# minor	2
297766	A minor	1
297767	F minor	2
297768	F minor	2
297769	D minor	2
297804	E minor	2
297806	A# major	2
297807	F minor	2
297811	E minor	2
297816	A minor	1
297818	G# major	2
297849	G minor	2
297853	C# minor	2
297879	D# minor	2
297882	D# minor	2
297886	F major	0
297889	F major	2
297890	F major	2
297895	C minor	2
297967	G minor	2
297969	C minor	1
297993	A minor	1
297994	F# minor	2
297995	A# minor	2
297996	F# minor	2
298006	C minor	2
298007	E minor	1
298011	G# major	2
298012	G# major	1
298015	G# major	1
298017	A# minor	1
298020	F major	2
298024	A# major	1
298029	F minor	1
298042	C major	1
298054	B minor	2
298055	A major	1
298058	A minor	1
298061	A major	1
298076	F# minor	1
298078	G# minor	0
298080	D# major	2
298082	F major	2
298084	G# minor	0
298088	G major	1
298104	C minor	2
298109	A# major	1
298110	C# minor	2
298111	B minor	2
298115	C minor	1
298129	C# minor	2
298134	A major	2
298169	F minor	2
298170	C minor	2
298172	D minor	2
298173	C minor	2
298193	G minor	2
298211	A# minor	2
298215	A major	2
298216	F major	2
298226	F minor	2
298236	E minor	1
298319	A# major	2
298320	A minor	1
298327	D minor	2
298332	D minor	2
298334	F minor	2
298397	D# major	1
298398	F# major	2
298399	F minor	2
298429	F minor	2
298430	F minor	2
298431	C minor	2
298474	G minor	2
298525	C minor	2
298530	A minor	2
298532	C minor	2
298535	F minor	2
298536	B minor	2
298763	A minor	2
298764	A minor	2
298791	D minor	2
298795	F major	2
298805	F minor	2
298813	D minor	1
298817	C minor	2
298824	F minor	2
298846	F minor	2
298847	A# major	1
298850	F minor	2
298857	D# minor	1
298860	G minor	2
298863	G# major	2
298865	F minor	1
298866	F major	2
298867	D# minor	0
298880	D# minor	2
298914	D major	2
298915	D major	2
298938	A minor	2
298940	G# minor	2
298944	G# major	2
298951	C minor	2
298984	D# major	2
298985	D# major	2
298986	D# major	2
298987	D# major	2
298989	-	0
298990	C major	1
298992	G major	2
298998	D# minor	2
299003	A minor	2
299008	B major	1
299025	A minor	2
299031	G major	2
299032	G major	2
299040	A minor	2
299041	F minor	2
299050	A major	2
299059	G minor	2
299063	A major	2
299064	E minor	2
299071	A major	2
299073	E major	2
299074	C# minor	2
299075	C# minor	0
299114	G# major	2
299157	F minor	2
299159	A minor	2
299160	A minor	2
299191	A minor	2
299298	D minor	2
299300	G minor/major	1
299306	F major	2
299310	C minor	2
299311	C minor	2
299355	G major	2
299365	F major	2
299396	B minor	2
299401	B major	2
299450	A# major	2
299451	G major	1
299452	F minor	2
299453	F minor	2
299454	C minor	2
299455	C minor	2
299456	C minor	2
299457	F minor	2
299459	F minor	2
299462	E minor	2
299464	B major	2
299465	E major	2
299466	F major	2
299467	G major	2
299468	A major	2
299469	C major	1
299470	G major	2
299471	F major	2
299472	G major	2
299473	F major	2
299474	G major	2
299475	F major	2
299482	A major	2
299483	G major	2
299486	E major	2
299488	E minor	2
299489	D major	2
299490	F# major	2
299491	D major	2
299492	F# minor / A major	0
299493	A major	2
299494	B major / C major	0
299497	A minor	1
299503	C major	2
299507	F minor	2
299509	D major	2
299511	D major	2
299513	C# major	2
299546	F minor	2
299547	F# minor	2
299616	E minor	1
299624	E minor	1
299625	C major	2
299654	G minor	1
299657	C minor	2
299665	G# major	2
299667	A major	2
299668	A minor	2
299669	C minor	2
299679	F major	2
299681	C minor	2
299687	-	0
299690	D minor	0
299701	A# minor	2
299725	A# minor	1
299729	C minor	2
299739	F minor	2
299743	F# major	2
299754	G minor	2
299761	F major / G minor	1
299764	G major	1
299767	C minor	2
299769	F minor	2
299772	C minor	2
299773	F minor	2
299782	C# minor	2
299786	F minor	2
299789	G# major	2
299792	A# minor	2
299800	C major	1
299801	A minor	2
299807	D# major	2
299808	D# major	2
299809	C minor	2
299810	C minor	2
299811	D# major	2
299812	E major	2
299817	F minor	2
299820	F minor / G# major	1
299832	C# major	2
299834	C# major	2
299835	C# major	2
299836	C# major	2
299847	D minor	2
299849	A minor	1
299861	F minor	0
299862	B major	1
299868	A# major / D minor	1
299869	A major	2
299870	D major	2
299879	A# major / minor	1
299887	F minor	2
299890	E / B / A minor	0
299904	C major	2
299905	C# major	2
299932	F major	2
299933	C minor	2
299943	D# minor	2
299945	B minor	2
299968	B minor	2
299970	A/E major	1
299976	A minor	2
299977	F# minor	2
299978	F minor	2
299994	D# minor	2
299995	A major	2
307186	E minor	2
307425	C minor	2
312995	G# minor	2
315480	B minor	2
316031	C# minor	2
323868	-	0
326117	F# minor	2
328299	C major	1
330141	G# minor	2
331595	C major	2
332026	E minor	1
333831	F# minor	2
335862	C major	2
349463	D major	2
350773	F major	2
356905	G minor	2
358893	C minor	2
367369	G major	2
371036	G# minor	2
373434	D minor	2
384265	E minor	2
384364	F minor	1
385707	D minor	2
386088	G minor	2
388664	A minor	2
392321	F# minor	2
396112	E major	2
400929	A# major	1
401815	C# minor	2
402978	E minor	2
408635	-	0
410637	G# major	1
431138	A minor	2
431805	F minor	2
432966	D minor	2
435271	B minor	2
441969	E minor	2
443912	G# minor	2
446875	D minor	2
450431	E minor	2
451169	C# minor	2
457131	E minor	2
460731	E major	2
461880	-	0
466208	G# minor	2
470136	B minor	2
471711	G minor	2
482720	D major	1
486117	B minor / E minor	1
486395	F# major	2
487971	C major	2
489351	A# major	2
489613	-	0
491529	A minor	2
495613	D minor	2
497517	E minor	1
501476	D major	2
501562	C minor	2
503690	D minor	2
508703	E major	2
512956	D minor	2
515806	F / F# minor	2
521598	C# minor	2
522851	G# minor	2
